Data,Fechamento VALE3,Fechamento PETR4,Fechamento CYRE3,Fechamento NTCO3,Fechamento FAMB11B,Fechamento FMOF11,Fechamento OZ1D,Fechamento SHPH11,Fechamento HCRI11,Fechamento IMA-B,,,,,
Jan-10,32.08301553,26.06049917,15.28054347,12.21194361,871.8219435,72.19952788,66,172.9588536,106.6965291,2062.209037,,,,,
Fev-10,33.09319431,26.39607481,15.92311716,11.98166536,877.7735927,65.39338443,65.21,183.0591766,111.1675765,2098.38194,,,,,
Mar-10,37.48812794,26.9909589,14.87099101,13.310599,866.4022293,68.54677883,68,213.3739866,110.4553121,2139.773509,,,,,
Abr-10,35.07862801,25.20418621,14.82862352,13.60557072,853.8705284,69.0781492,69,209.0879793,104.423124,2154.275491,,,,,
Mai-10,33.03072317,22.91138615,14.26547393,13.97428538,861.8118407,56.48976623,72,205.7390648,125.7383177,2146.869942,,,,,
Jun-10,28.83582133,20.79053486,14.09212133,14.74858615,884.6981923,68.62444475,74.1,209.5946898,111.5274241,2174.2394,,,,,
Jul-10,32.0728322,21.55682785,17.90587841,17.11876366,890.698175,66.9520065,71.2,225.5555437,112.3117783,2208.623556,,,,,
Ago-10,30.96960604,20.31721279,15.76786308,15.84515761,917.7162371,71.39497043,73.75,250.8561607,113.1304609,2252.78297,,,,,
Set-10,34.55013644,21.27616029,17.29914433,17.04384566,998.6830018,66.03704029,74.3,225.3846154,113.9855069,2264.45681,,,,,
Out-10,35.77847134,20.15349005,16.97410822,18.2425337,1043.438595,66.41338279,80,243.4735446,112.8859792,2309.624845,,,,,
Nov-10,35.75177098,19.27301171,15.67396376,17.26110786,1162.706423,68.3193224,85,260.9757511,116.8967517,2329.764978,,,,,
Dez-10,36.93326155,21.5565017,15.78230913,17.86419779,1114.560909,67.22036703,82,274.1800074,130.6332105,2385.460775,,,,,
Jan-11,38.30586687,21.39852075,13.29758861,15.99499362,1135.696376,61.60840171,74.3,252.5476436,125.4788121,2378.036217,,,,,
Fev-11,37.78241599,22.57547888,11.954106,15.81144451,1141.59165,58.08133196,78.4,265.737042,132.453907,2393.316222,,,,,
Mar-11,35.80269793,22.64311682,11.18124235,17.64776624,1139.615588,64.99321957,78.4,273.4803372,128.0284821,2430.61495,,,,,
Abr-11,35.17324007,20.43165605,11.9252139,16.99556618,1197.52708,60.18416419,79.5,268.3529587,128.0826583,2443.954669,,,,,
Mai-11,34.12734724,19.38800702,12.46128601,16.228272,1207.660637,57.07365025,78.8,257.8888862,123.6115584,2480.410851,,,,,
Jun-11,33.61119234,19.09022526,10.96445698,14.96223659,1229.947248,57.30320742,80.5,247.5162306,123.7481326,2472.928541,,,,,
Jul-11,34.07980666,18.91316584,11.20778387,13.8293751,1297.233321,54.84389184,88,250.6957875,119.1816095,2489.591174,,,,,
Ago-11,31.09003592,16.88592056,11.12667491,14.95534124,1231.655315,57.80073338,94.98,252.7018902,119.3258337,2624.685007,,,,,
Set-11,29.59799179,15.50582129,8.634417704,12.55432633,1343.889325,58.41408123,97.9,252.9907048,122.4432254,2641.922528,,,,,
Out-11,31.0557918,17.30806858,11.06768657,13.10357811,1522.962042,61.69880826,93.5,254.9772802,113.9370828,2683.001501,,,,,
Nov-11,29.59216949,18.06522793,11.08243365,14.24131393,1550.241834,63.89980142,101.7,267.0125803,115.1871101,2737.302528,,,,,
Dez-11,28.0290777,17.60642849,10.94233636,14.22562102,1556.880668,78.93293831,95,272.6407677,104.6136797,2745.86213,,,,,
Jan-12,31.7591831,20.31681868,11.93039099,14.68071535,1542.675949,73.64268807,95.6,301.1615274,83.43730428,2790.660319,,,,,
Fev-12,30.9421124,20.10182589,12.77097478,16.33786101,1591.255802,74.97285156,96,308.5149022,104.6970661,2851.309986,,,,,
Mar-12,30.48028982,19.405127,11.90827036,16.01909317,1619.012855,81.55838699,95.7,392.9199604,107.1453256,2905.85916,,,,,
Abr-12,31.02889067,17.69315434,11.56684007,17.65328277,1659.281449,85.71746658,100.8,393.3345611,115.0217169,3034.299989,,,,,
Mai-12,27.37971832,16.06256743,11.35653389,17.47170615,1674.755958,91.82473593,101,393.1584261,127.3545046,3093.953997,,,,,
Jun-12,29.22979771,15.32367253,11.11618397,18.96466949,1795.891141,108.5641371,103.35,371.4950366,129.5218282,3078.495467,,,,,
Jul-12,27.05923212,16.37323914,11.11618397,21.69235387,1922.31117,111.8189372,106,418.9368967,134.5302935,3167.159498,,,,,
Ago-12,24.60459922,17.42280576,12.40055387,20.86723748,1929.200174,140.0893578,110.95,419.9759611,145.1779115,3224.438559,,,,,
Set-12,26.57850283,18.78304408,13.0690271,22.65058685,2022.167674,145.144161,115.9,396.8300311,140.477475,3270.712226,,,,,
Out-12,28.15430655,17.46478842,12.93383027,22.19962494,2029.110371,139.4398053,112.7,385.776919,144.4094783,3394.857298,,,,,
Nov-12,28.26707413,15.66793038,13.38448637,23.18764149,2170.776247,129.9484709,117,384.3863176,138.3705509,3412.892422,,,,,
Dez-12,31.78542272,16.39003221,13.43706292,24.04036946,2455.423313,140.6077559,109.5,405.6351971,146.7237683,3478.379033,,,,,
Jan-13,30.26681927,15.18093147,13.18169112,22.01514052,2546.197909,136.5373958,107,440.0402898,151.8034645,3497.101393,,,,,
Fev-13,28.41743091,13.94664114,13.0690271,21.40807334,2524.674426,136.0063235,100,485.032104,153.9310505,3466.433711,,,,,
Mar-13,26.23725764,15.40763786,13.01645055,20.68748848,2399.404624,117.353097,103.5,471.1914444,153.561773,3401.15081,,,,,
Abr-13,26.43662352,17.53834961,13.65488004,21.22792713,2222.666962,119.4066286,95,456.4889919,153.6618842,3454.95136,,,,,
Mai-13,23.50350908,17.50343005,13.13258976,21.24887436,2251.978986,105.6988137,94.6,456.3834833,124.2530258,3298.935465,,,,,
Jun-13,22.46148159,14.1249625,11.850231,19.98366142,2127.646315,102.4706068,88.4,406.9169614,117.7597967,3206.88818,,,,,
Jul-13,23.94347625,14.22099129,12.58411101,19.25050822,2111.331752,99.28412314,97,405.3982195,129.0103835,3248.287554,,,,,
Ago-13,26.56784179,14.6662157,12.143783,19.10881069,2010.242046,114.974802,107.9,385.8321565,119.7178366,3163.401002,,,,,
Set-13,26.59871668,16.02807859,12.93946344,21.12767767,2030.695819,97.40163914,94,385.694334,116.2612674,3175.618881,,,,,
Out-13,28.34075753,17.83516588,12.93946344,19.12161534,2044.127775,99.45942024,95,367.298906,119.9068277,3204.527554,,,,,
Nov-13,28.43588734,16.69155025,12.20558343,18.43870051,2057.574417,103.6035628,92.5,356.2521112,116.1854682,3089.590779,,,,,
Dez-13,28.30904759,14.91065263,11.12407603,17.65761667,2061.442975,111.1030164,90.5,378.1099274,120.8939411,3129.913583,,,,,
Jan-14,26.20033668,12.83293874,11.0313754,16.76129095,1962.297545,88.88938754,96.59,386.8882817,110.6111848,3050.08032,,,,,
Fev-14,26.16069926,11.86392091,10.08891896,15.2244456,1951.354539,82.05174234,98.7,362.4996702,112.458268,3185.474422,,,,,
Mar-14,24.90815669,13.77576689,10.55242213,16.81703467,1881.348914,81.13456895,94,364.6384147,113.7844164,3208.087891,,,,,
Abr-14,23.96169274,15.38657884,10.78741773,16.8479159,1911.197908,84.47081107,92.05,370.6463361,119.7399684,3285.676516,,,,,
Mai-14,23.14666918,15.4980085,10.54805195,17.03320327,1936.980171,82.18395324,90.6,355.394784,124.1132248,3425.826158,,,,,
Jun-14,23.83128897,16.0551568,11.02678351,16.43322512,2037.893596,86.35791934,94,379.1232823,123.4334143,3427.850036,,,,,
Jul-14,26.52901696,17.7358875,10.0294261,15.85043737,2055.757147,86.9375027,93,358.8606754,125.6335248,3466.477202,,,,,
Ago-14,23.73348614,21.68235461,11.3220013,18.39871035,2228.756331,87.52851719,92.5,404.2789796,124.9215883,3633.530515,,,,,
Set-14,21.88338265,16.7980212,9.853891194,16.59069273,2291.588322,88.36801332,95,434.7221341,122.6788505,3505.140886,,,,,
Out-14,21.14066564,14.18871,9.829954616,16.15102591,2154.456506,86.36877063,93.79,410.6834824,123.5294531,3578.057224,,,,,
Nov-14,19.70310037,11.88583037,9.933679786,15.823519,2230.107811,85.83558371,97.3,444.9678938,124.0037331,3654.79397,,,,,
Dez-14,18.52767936,9.304376584,8.824618348,14.28917153,2195.977914,93.20484559,101.4,405.9226979,126.5687062,3585.122707,,,,,
Jan-15,15.7371115,7.595788469,8.625146867,14.06485173,2366.796481,93.50375102,109,434.8597611,124.466781,3696.884341,,,,,
Fev-15,17.96956579,8.88651536,9.23951903,13.09342746,2387.878813,93.42634725,111.2,429.4513642,126.8351379,3716.970454,,,,,
Mar-15,15.17054166,9.03508824,10.57198853,12.52536268,2311.384787,96.16268378,122.8,440.4687103,128.0254442,3706.430429,,,,,
