Data,BRFS3,MRFG3,ITSA3,ABEV3,UGPA3,GGBR3,FRLY3,CIEL3,IGTA3,IBOV,DINAMO
01/01/2010,20.16519505,22.2806488,3.890583603,4.242104866,4.662527725,15.75362228,6.909496657,4.61741019,11.94753892,65401,242.1727022
01/02/2010,19.69623702,20.85468728,3.99488032,4.217500658,11.24642497,16.206034,7.08675414,4.355756946,11.99366841,66503,242.1347292
01/03/2010,21.39341844,20.14170651,3.912349009,3.944956225,11.9384504,17.77331745,6.735784325,5.345719645,12.55980311,70371,248.9949078
01/04/2010,20.27685172,18.06217929,3.857787948,4.204752299,12.38361295,17.52287525,6.28555032,5.387208812,12.22530841,67529,245.3439132
01/05/2010,20.81280375,16.95433183,3.625151756,4.209896776,12.8773387,15.0275927,6.310366368,4.914870599,12.67794093,63046,246.7939993
01/06/2010,21.22037002,16.75580336,3.668270018,4.458546484,12.95423041,14.14122495,7.08675414,4.85104111,13.40976735,60935,250.8253526
01/07/2010,22.12469803,17.56977011,4.134848222,4.665182965,14.30590581,15.12517447,7.232105275,5.042529575,14.78881598,67515,266.4212999
01/08/2010,21.08606388,16.87492044,4.022236025,4.772931171,15.99081557,14.241452,7.704829854,4.787211622,14.29811156,65145,271.1706695
01/09/2010,23.05588726,17.11315461,4.169311987,5.031862864,16.40504291,14.21686952,7.490806803,4.884326104,16.07479998,69429,285.1571227
01/10/2010,22.0978368,15.26683979,4.370164624,5.620270874,17.75845895,13.84813227,7.847511889,4.851167068,16.79393577,70673,299.1994816
01/11/2010,22.8320437,12.95398305,4.26001963,5.788096589,17.01613076,12.29043674,8.132875957,4.940696467,18.15556372,67705,294.8096826
01/12/2010,24.69483446,15.38595687,4.695880347,6.411520979,18.53769848,13.84221788,9.575538005,4.459890435,17.72837398,69304,301.7499128
01/01/2011,24.70386695,13.46738669,3.908720214,5.609342202,19.80908931,13.45427259,8.982681056,4.101772838,15.37883044,66574,288.6574058
01/02/2011,26.10390329,14.49642292,3.882618577,5.532522135,17.99858826,14.07333422,7.922724691,4.353781517,15.39164613,67383,294.9303248
01/03/2011,27.84717434,14.57634806,4.086087583,5.815311145,18.91510623,13.08753981,8.713200624,4.79364068,17.04487041,68586,311.4834898
01/04/2011,28.47944881,16.18484158,4.15562392,6.321902682,17.66681704,12.70651017,8.42575483,5.039557218,17.4320606,66132,310.978588
01/05/2011,26.447138,14.3,3.88484386,6.165650826,18.24741667,12.31294371,9.341988298,5.444799963,17.4320606,64620,313.4434022
01/06/2011,24.24166347,15.4,4.065534272,6.447543422,19.19711176,11.88032677,8.167053616,5.403236604,16.50665491,62403,308.1020267
01/07/2011,26.98600273,15.2,4.035640638,5.812019311,19.93530271,9.900272311,7.653244259,5.971269171,14.59128035,58823,295.7018755
01/08/2011,28.48624153,7.69,4.078760153,6.884844537,21.54955774,9.584590545,8.321104476,5.666471208,14.52671716,56495,292.106603
01/09/2011,29.43761247,6.13,4.652450856,6.958989016,21.46554387,9.32464102,8.118503672,5.944246693,13.55826935,52324,290.2239073
01/10/2011,32.70337619,7.45,4.518567378,7.126860714,22.39389714,10.98496379,7.832691822,6.454969559,14.32011496,58338,310.3373062
01/11/2011,32.2917253,8.22,4.501831943,7.624941575,22.68374499,9.818693857,7.452815314,6.830918336,14.23403071,56874,313.6749622
01/12/2011,33.68018532,8.54,4.872530424,8.393584879,22.31408396,10.37782569,7.765100807,6.838011709,15.09135556,56754,324.7089247
01/01/2012,31.99710083,8.02,4.855611915,7.993890361,22.74675539,11.69093833,8.291240815,7.384201441,16.20165437,63072,337.2206623
01/02/2012,33.19930404,10.55,4.838693407,8.934709764,22.07005188,12.43715097,8.886323307,8.710662218,18.0260277,65811,359.8293862
01/03/2012,33.29178121,11.5,4.808473605,9.811975477,23.24371938,12.14751869,8.744809787,8.960943664,18.28727448,64510,362.9413016
01/04/2012,32.22829375,10.49,4.283060861,10.51002942,25.38693829,12.65011589,8.911723169,9.938264228,18.41071756,61820,363.6431803
01/05/2012,29.02858367,9.1,4.471908342,9.758533474,24.67678441,11.66169753,8.759323995,9.469150357,17.02156122,54490,352.1401028
01/06/2012,28.21036331,9.34,4.330093066,9.907890288,23.79228136,12.50017615,9.252807037,10.26490648,18.24366711,54354,360.8508495
01/07/2012,27.23567158,9.45,4.63263232,10.08672175,22.66539047,13.0049745,7.768729359,10.37957876,19.27674224,56097,375.5246248
01/08/2012,30.27114009,11.5,4.882227204,10.00358081,22.47979686,12.73441421,8.04783135,10.42649015,21.4527941,57061,379.4656226
01/09/2012,32.49900689,11.8,4.925767811,10.08515305,23.66952341,13.70670394,8.85078958,8.963448688,22.77600947,59175,381.3182858
01/10/2012,34.29986588,10.5,4.815969759,10.8032615,24.13075797,12.70860121,8.719396415,8.903208077,22.68369212,57068,380.1628216
01/11/2012,36.01717987,11.6,5.190797594,12.29009398,23.21259945,12.80328958,8.394563313,9.859970736,22.85074256,57474,394.5603036
01/12/2012,39.16404172,8.48,5.571888939,13.3860069,22.67377402,13.32199138,8.449620924,10.09738962,23.94975866,60952,403.3478291
01/01/2013,40.79708642,10.25,5.518054263,14.39835366,22.5229029,13.27876623,8.156358592,9.978680177,25.37408351,59761,399.0148174
01/02/2013,40.06023918,9.85,5.594960943,14.06700338,25.19429358,12.49206849,8.064714114,10.5297046,23.9321744,57424,403.0080637
01/03/2013,41.59922392,8.44,5.595389491,13.32409026,22.62638846,12.05954817,7.001638162,10.78747027,22.41992826,56352,407.1845808
01/04/2013,46.21924785,6.81,5.653634351,13.18227605,23.60463803,11.7132582,7.001638162,11.54239386,21.48557831,55910,407.9901625
