Data,MELI,AMZN,APPL,MSFT,CRM,LREN3,RENT3,VVAR3,WEGE3,RADL3,IBOV
Jan-10,36.85,125.41,5.93,22.12,15.89,4.71,4.71,3.05,4.18,8.10,65401
Fev-10,39.87,118.4,6.32,22.61,16.99,5.11,4.70,2.52,4.14,8.34,66503
Mar-10,46.72,135.77,7.25,23.10,18.61,5.34,4.49,3.07,4.47,8.60,70371
Abr-10,48.86,137.1,8.06,24.08,21.40,5.74,4.66,2.91,4.17,9.03,67529
Mai-10,50.26,125.46,7.93,20.44,21.63,5.81,4.58,3.00,4.00,8.91,63046
Jun-10,50.92,109.26,7.76,18.23,21.46,6.54,5.02,2.93,3.94,10.44,60935
Jul-10,58.63,117.89,7.94,20.44,24.74,7.87,5.84,3.52,4.33,11.07,67515
Ago-10,63.90,124.83,7.50,18.69,27.47,7.57,5.88,3.44,4.04,11.19,65145
Set-10,69.94,157.06,8.76,19.50,27.95,7.74,6.83,3.48,4.41,13.10,69429
Out-10,64.09,165.23,9.29,21.23,29.02,8.97,6.77,3.42,5.23,13.05,70673
Nov-10,61.65,175.4,9.60,20.24,34.81,8.01,6.78,4.36,5.38,12.73,67705
Dez-10,64.58,180,9.95,22.36,33.00,7.61,6.47,4.47,5.21,12.32,69304
Jan-11,65.68,169.64,10.47,22.21,32.29,6.53,6.05,5.04,4.74,10.95,66574
Fev-11,63.74,173.29,10.90,21.42,33.07,6.88,5.68,6.28,4.83,11.59,67383
Mar-11,79.18,180.13,10.76,20.46,33.40,7.15,6.33,6.19,5.19,11.68,68586
Abr-11,88.66,195.81,10.81,20.89,34.65,8.05,6.53,5.96,4.76,10.36,66132
Mai-11,85.48,196.69,10.73,20.29,38.07,8.30,6.39,6.07,4.35,10.27,64620
Jun-11,77.04,204.49,10.36,21.09,37.25,8.27,6.78,5.50,4.32,9.81,62403
Jul-11,77.12,222.52,12.05,22.23,36.18,7.75,6.12,5.50,4.10,11.51,58823
Ago-11,65.43,215.23,11.88,21.60,32.19,8.32,6.74,4.81,4.20,11.51,56495
Set-11,52.26,216.23,11.77,20.22,28.57,7.06,6.07,4.24,4.58,10.36,52324
Out-11,63.40,213.51,12.49,21.63,33.29,7.26,6.34,4.13,4.66,9.95,58338
Nov-11,85.26,192.29,11.80,20.93,29.61,7.55,6.69,3.53,4.38,11.60,56874
Dez-11,77.42,173.1,12.50,21.24,25.37,6.77,6.25,3.55,4.62,11.99,56754
Jan-12,85.07,194.44,14.09,24.17,29.20,8.25,7.03,3.99,4.79,13.40,63072
Fev-12,94.71,179.69,16.74,26.14,35.79,9.14,7.77,5.50,4.73,15.45,65811
Mar-12,95.28,202.51,18.50,26.57,38.63,8.79,8.25,5.50,4.92,16.43,64510
Abr-12,94.26,231.9,18.02,26.37,38.93,8.80,7.99,4.58,5.01,19.01,61820
Mai-12,68.44,212.91,17.83,24.20,34.66,8.35,7.89,4.36,5.17,17.26,54490
Jun-12,73.97,228.35,18.02,25.36,34.57,8.11,7.48,4.13,4.87,18.79,54354
Jul-12,65.19,233.3,18.85,24.43,31.09,8.82,8.21,4.17,4.65,21.72,56097
Ago-12,77.65,248.27,20.62,25.72,36.30,9.64,8.85,4.15,5.05,19.92,57061
Set-12,80.66,254.32,20.68,24.84,38.17,9.80,8.80,4.13,5.95,21.66,59175
Out-12,82.05,232.8931,18.45,23.82,36.50,10.85,8.82,3.90,5.88,20.78,57068
Nov-12,70.30,252.05,18.22,22.40,39.42,11.28,8.80,4.13,6.87,19.53,57474
Dez-12,76.86,250.87,16.57,22.48,42.03,11.53,9.29,4.13,6.82,21.45,60952
Jan-13,86.50,265.5,14.18,23.10,43.03,11.53,9.08,4.13,6.38,20.69,59761
Fev-13,83.77,264.27,13.82,23.59,42.31,10.90,9.32,5.16,6.75,21.22,57424
Mar-13,94.63,266.49,13.86,24.27,44.71,10.95,8.98,5.27,6.65,20.05,56352
Abr-13,98.57,253.81,13.87,28.08,41.11,11.28,8.83,5.41,6.69,20.05,55910
Mai-13,112.32,269.2,14.18,29.82,42.33,11.02,8.60,6.08,7.23,21.38,53506
Jun-13,105.74,277.69,12.50,29.51,38.18,9.48,8.26,5.30,7.21,20.19,47457
Jul-13,115.23,301.22,14.27,27.20,43.75,8.95,8.51,5.30,7.22,18.00,48234
Ago-13,116.46,280.98,15.46,28.74,49.13,8.50,8.16,5.50,7.22,15.74,50011
Set-13,132.53,312.64,15.13,28.63,51.91,9.43,8.64,5.66,6.98,17.11,52338
Out-13,132.26,364.03,16.59,30.46,53.36,10.02,9.58,7.22,7.52,15.29,54256
Nov-13,108.75,393.62,17.75,33.06,52.09,9.28,9.17,8.64,8.14,15.77,52482
Dez-13,106.03,398.79,17.91,32.43,55.19,9.07,9.03,7.23,8.08,13.83,51507
Jan-14,94.91,358.69,15.98,32.80,60.53,8.24,8.30,6.47,7.10,13.60,47638
Fev-14,102.48,362.1,16.90,33.46,62.37,8.58,8.48,5.90,8.00,15.47,47094
Mar-14,93.72,336.365,17.23,35.80,57.09,9.57,9.03,6.38,8.31,18.40,50414
Abr-14,91.90,304.13,18.95,35.29,51.65,9.91,9.08,7.32,9.17,17.81,51626
Mai-14,83.82,312.55,20.44,36.01,52.63,10.23,9.73,7.70,8.87,17.81,51239
Jun-14,94.18,324.78,21.00,36.68,58.08,10.71,9.99,6.94,9.67,17.15,53168
Jul-14,91.31,312.99,21.61,37.96,54.25,10.37,9.92,6.85,9.35,17.84,55829
Ago-14,113.48,339.04,23.28,40.21,59.09,11.59,10.95,7.22,9.62,20.50,61288
Set-14,107.42,322.44,22.88,41.03,57.53,10.78,9.75,6.74,9.84,19.76,54115
Out-14,134.61,305.46,24.53,41.54,63.99,11.25,9.83,7.22,10.07,21.22,54628
Nov-14,139.34,338.64,27.13,42.58,59.87,11.62,9.64,7.22,10.46,23.02,54724
Dez-14,126.38,310.35,25.18,41.37,59.31,11.62,9.83,6.55,10.57,23.99,50007
Jan-15,122.69,354.53,26.73,35.98,56.45,10.71,9.63,7.61,11.05,24.46,46907
Fev-15,129.65,380.16,29.42,39.33,69.38,12.78,9.66,7.41,10.67,27.06,51583
Mar-15,121.39,372.1,28.50,36.47,66.81,13.82,10.02,5.47,11.08,27.29,51150
Abr-15,141.02,421.78,28.66,43.63,72.82,16.15,9.72,6.36,11.19,32.59,56229
Mai-15,143.79,429.23,29.96,42.31,72.75,16.46,8.90,6.84,12.00,33.94,52760
Jun-15,140.49,434.09,28.85,39.86,69.63,17.41,8.55,7.66,13.31,38.30,53080
Jul-15,129.57,536.15,27.90,42.16,73.30,16.77,7.86,7.66,13.20,41.58,50864
Ago-15,109.11,512.89,26.05,39.55,69.36,15.18,6.27,2.70,11.76,37.94,46625
Set-15,90.38,511.89,25.48,40.22,69.43,14.21,6.83,2.88,10.88,37.48,45059
Out-15,97.64,625.9,27.61,47.84,77.71,14.29,7.31,2.88,10.14,38.33,45868
Nov-15,122.32,664.8,27.45,49.73,79.69,13.51,7.47,1.44,10.70,38.00,45120
Dez-15,113.59,675.89,24.42,50.76,78.40,13.24,6.98,1.22,10.57,34.12,43349
Jan-16,97.60,587,22.58,50.40,68.06,13.74,6.21,2.24,10.93,39.89,40405
Fev-16,101.09,552.52,22.56,46.89,67.75,13.94,6.51,2.41,9.38,44.25,42793
Mar-16,117.23,593.64,25.42,50.89,73.83,16.15,8.41,2.95,10.00,50.34,50055
Abr-16,124.24,659.59,21.87,45.95,75.80,16.28,9.39,2.59,10.83,53.08,53910
Mai-16,135.78,722.79,23.44,49.18,83.71,16.38,9.47,3.08,10.27,55.68,48471
Jun-16,140.10,715.62,22.44,47.48,79.41,18.62,9.82,2.88,9.85,61.04,51526
Jul-16,152.46,758.81,24.46,52.60,81.80,21.42,11.53,2.87,10.95,64.07,57308
Ago-16,171.30,769.16,25.04,53.65,79.42,20.14,11.54,3.07,11.88,57.69,57901
Set-16,184.37,837.31,26.68,53.78,71.33,19.29,11.35,3.73,12.74,64.22,58367
Out-16,167.46,789.82,26.79,55.95,75.16,21.28,11.39,3.61,12.69,68.66,64924
Nov-16,157.30,750.57,26.21,56.65,72.00,17.72,9.96,3.58,11.23,62.48,61906
Dez-16,155.78,749.87,27.47,58.41,68.46,18.32,9.90,3.23,11.24,59.44,60227
Jan-17,184.96,823.48,28.78,60.77,79.10,18.88,10.66,4.02,11.54,63.63,64670
Fev-17,210.38,845.04,32.63,60.51,81.35,20.20,11.14,3.62,12.31,57.70,66662
Mar-17,211.13,886.54,34.22,62.29,82.49,22.04,12.11,4.48,12.71,57.15,64984
Abr-17,228.54,924.99,34.22,64.74,86.12,23.55,13.74,3.67,12.93,65.70,65403
Mai-17,274.67,994.62,36.54,66.43,89.64,23.10,13.26,4.00,13.88,70.13,62711
Jun-17,250.62,968,34.45,65.56,86.60,24.04,13.77,5.83,12.93,68.43,62899
Jul-17,288.12,987.78,35.57,69.15,90.80,25.73,15.90,6.67,13.92,67.35,65920
Ago-17,258.20,980.6,39.38,71.50,95.49,26.87,18.24,7.80,15.04,67.69,70835
Set-17,258.81,961.35,37.01,71.23,93.42,31.73,17.73,7.56,15.73,73.36,74294
Out-17,240.20,1105.28,40.59,79.54,102.34,30.34,17.78,7.32,15.69,76.50,74308
Nov-17,275.01,1176.75,41.41,80.89,104.32,29.85,18.46,7.92,16.87,86.07,71971
Dez-17,314.66,1169.47,40.78,82.21,102.23,31.29,20.39,8.09,17.82,89.95,76402
Jan-18,387.10,1450.89,40.35,91.31,113.91,33.38,23.83,7.87,17.51,82.73,84913
Fev-18,387.97,1512.45,43.10,90.54,116.25,30.44,23.98,8.14,17.30,76.17,85354
Mar-18,356.39,1447.34,40.60,88.12,116.30,30.35,26.61,8.11,16.80,73.44,85366
Abr-18,339.61,1566.13,39.99,90.30,120.99,28.93,25.84,6.50,17.18,67.53,86116
Mai-18,290.83,1629.62,45.39,95.85,129.33,26.33,22.92,5.89,16.60,61.14,76754
Jun-18,298.93,1699.8,44.96,95.62,136.40,26.13,22.05,7.15,15.70,65.34,72763
Jul-18,342.91,1777.44,46.22,102.87,137.15,27.47,22.07,5.70,18.01,73.17,79220
Ago-18,342.41,2012.71,55.49,109.35,152.68,25.16,20.00,5.06,18.62,75.77,76678
Set-18,340.47,2003,55.03,111.33,159.03,27.65,21.20,5.60,19.25,71.43,79342
Out-18,324.50,1598.01,53.35,103.97,137.24,33.53,26.79,5.18,17.55,61.95,87424
Nov-18,351.97,1690.17,43.68,108.41,142.76,34.87,25.08,4.39,17.37,61.27,89504
Dez-18,292.85,1501.97,38.59,99.30,136.97,37.90,27.87,6.00,17.15,56.51,87887
Jan-19,364.00,1718.73,40.71,102.10,151.97,40.67,31.20,4.58,18.42,61.31,97394
Fev-19,458.79,1639.83,42.54,109.99,163.65,38.69,32.37,4.22,18.09,64.68,95584
Mar-19,507.73,1780.75,46.66,115.80,158.37,39.24,31.07,4.10,17.72,64.74,95415
Abr-19,484.14,1926.52,49.30,128.23,165.35,42.24,34.02,4.70,18.29,68.55,96353
Mai-19,570.52,1775.07,43.17,121.88,151.41,43.65,35.76,5.07,18.75,68.83,97030
Jun-19,611.77,1893.63,48.81,132.01,151.73,46.82,38.62,7.72,21.03,75.62,100967
Jul-19,621.42,1866.78,52.54,134.29,154.50,47.12,41.46,7.73,23.59,82.48,101812
Ago-19,594.60,1776.29,51.67,136.31,156.07,50.19,44.33,7.92,22.28,91.46,101135
Set-19,551.23,1735.91,55.44,137.47,148.44,50.19,42.94,7.42,24.03,95.36,104745
Out-19,521.52,1776.66,61.58,141.76,156.49,50.47,40.78,8.81,25.29,109.48,107220
Nov-19,580.58,1800.8,66.35,150.19,162.89,51.51,42.54,11.17,30.17,112.46,108233
Dez-19,571.94,1847.84,72.91,156.46,162.64,55.96,47.12,14.00,34.42,111.28,115645
Jan-20,663.00,2008.72,76.85,168.89,182.31,57.21,53.30,13.81,39.14,123.82,113761
