Data,GOOGL,B3SA3,BBAS3,ITSA4,RENT3,VVAR3,OZ1D,VALE3,FLMA11,RADL3, NTN-F
Jan-10,265.2288109,8.402399567,14.3791968,3.416419427,4.710832632,3.048638224,66,32.08301553,0.517213558,8.097845118
Fev-10,263.6552873,7.814957649,15.47455151,3.516812874,4.701286872,2.52143011,65.21,33.09319431,0.493261534,8.33778127,293.3918204
Mar-10,283.8348264,7.977051852,15.62296405,3.768879988,4.486507269,3.069268107,68,37.48812794,0.469309062,8.602605636,306.6948983
Abr-10,263.1022518,7.619277101,15.69623758,3.710087935,4.66477959,2.911105673,69,35.07862801,0.521070442,9.032804557,312.9733478
Mai-10,243.0503363,8.172424224,13.79734112,3.454757677,4.576355487,3.00279404,72,33.03072317,0.511581086,8.912166098,314.630962
Jun-10,222.6906228,7.815343858,13.09101073,3.322598304,5.01961505,2.934027765,74.1,28.83582133,0.501625364,10.4353534,321.2670051
Jul-10,242.6599583,8.724888186,16.21904534,4.05785115,5.840573468,3.518541108,71.2,32.0728322,0.523460129,11.07054882,331.3000626
Ago-10,225.2280797,8.706978685,15.22689873,3.837624857,5.883801396,3.438313787,73.75,30.96960604,0.536764549,11.18851369,344.4225938
Set-10,263.1497978,9.625292843,17.31254159,4.035659544,6.832414275,3.48415797,74.3,34.55013644,0.554712416,13.10084713,340.1531242
Out-10,307.147399,9.693316114,17.83520469,4.213703347,6.772771073,3.415391695,80,35.77847134,0.563678113,13.04929287,343.5254263
Nov-10,278.1242971,8.957187806,17.79663771,4.048153846,6.775177031,4.355197463,85,35.75177098,0.638330864,12.7308695,336.1658614
Dez-10,297.2728379,9.02367736,17.1289473,4.127578462,6.472026354,4.472100132,82,36.93326155,0.803561805,12.31773126,344.607198
Jan-11,300.4709345,8.006537795,16.22398063,3.711251015,6.049508587,5.04286022,74.3,38.30586687,0.7520324,10.94909445,332.2041144
Fev-11,306.9972536,7.790294776,16.39255726,3.821423861,5.675187696,6.280653183,78.4,37.78241599,0.765963358,11.58779163,345.1604297
Mar-11,293.6643439,8.16224519,16.42568609,4.087457114,6.327230538,6.188964816,78.4,35.80269793,0.770199455,11.68343228,340.0088215
Abr-11,272.3136709,8.134693307,16.11440405,3.879890933,6.534763033,5.959743897,79.5,35.17324007,0.770287538,10.36143818,349.0443524
Mai-11,264.7663631,7.937026116,15.68222543,3.777555088,6.393325613,6.074354356,78.8,34.12734724,0.78011748,10.26974404,356.0347735
Jun-11,253.4353918,7.30161813,15.80473162,3.839681715,6.782273179,5.501302058,80.5,33.61119234,0.785337099,9.807410179,358.9061303
Jul-11,302.1375482,6.411004496,14.83951408,3.336904376,6.124657747,5.501302058,88,34.07980666,0.766557017,11.51104481,355.6569115
Ago-11,270.7421492,6.68783047,15.20987475,3.095182058,6.743457694,4.813639301,94.98,31.09003592,0.771931222,11.51104481,382.7146632
Set-11,257.7695884,6.300753465,14.29818435,3.083533872,6.066188461,4.242879213,97.9,29.59799179,0.767001151,10.35994033,387.5611673
Out-11,296.6071933,7.347294996,14.90833231,3.478277977,6.338753489,4.125976544,93.5,31.0557918,0.762886097,9.945542717,392.0814577
Nov-11,299.9854644,7.163096022,14.00089057,3.413565828,6.692942027,3.530002154,101.7,29.59216949,0.793883676,11.60313317,404.0512622
Dez-11,323.2630031,7.105095244,13.87597933,3.700054158,6.253259704,3.552924246,95,28.0290777,0.799530359,11.98820229,403.635015
Jan-12,290.3361213,7.96785681,15.91931974,3.752537195,7.027598988,3.988443992,95.6,31.7591831,0.903430865,13.40238498,404.1797302
Fev-12,309.424604,8.330361669,16.27970819,3.936227827,7.769795744,5.501302058,96,30.9421124,0.970556712,15.45433634,411.1205888
Mar-12,320.9307449,8.234371773,15.44507467,3.740618421,8.248372556,5.501302058,95.7,30.48028982,0.965702102,16.42648537,418.7797688
Abr-12,302.7181103,7.85342219,14.03448404,3.315162796,7.990610914,4.584418382,100.8,31.02889067,0.934935119,19.00845123,431.4191098
Mai-12,290.7114848,7.080122227,11.9375636,3.223684794,7.887862911,4.355197463,101,27.37971832,0.94689027,17.25937758,445.77323
Jun-12,290.3161019,7.599084065,11.82834002,3.115556651,7.48114498,4.125976544,103.35,29.22979771,0.947562572,18.79268979,456.9270717
Jul-12,316.7917373,8.525801634,13.203165,3.522411696,8.212112301,4.171820728,106,27.05923212,1.072231404,21.71599709,472.6820268
Ago-12,342.8769946,8.054296668,14.11393331,3.427112316,8.84723504,4.153483054,110.95,24.60459922,1.239499709,19.92489135,476.3935519
Set-12,377.6156307,9.178152017,15.27321269,3.315139177,8.797809146,4.125976544,115.9,26.57850283,1.234592624,21.65606157,474.8532777
Out-12,340.4784722,9.740079691,13.34558544,3.267412921,8.816467714,3.896755625,112.7,28.15430655,1.187450855,20.78200842,494.6942632
Nov-12,349.5234301,9.708867126,13.5623846,3.535414205,8.804085034,4.125976544,117,28.26707413,1.12331735,19.52671932,491.7731426
Dez-12,354.0327964,10.58599219,16.05212761,3.637618601,9.28700953,4.125976544,109.5,31.78542272,1.15936733,21.45149594,501.4708299
Jan-13,378.2112074,10.54062366,15.29968413,3.784024303,9.083459564,4.125976544,107,30.26681927,1.277280346,20.68902404,494.8315441
Fev-13,400.9882615,10.13986824,16.51613443,3.885382097,9.316750602,5.15747068,100,28.41743091,1.295700642,21.21903499,498.1452136
Mar-13,397.4788635,10.31378097,17.55241387,4.014915608,8.977497254,5.272081139,103.5,26.23725764,1.291524215,20.04795784,490.7753395
Abr-13,412.6845866,10.66769612,16.06893117,3.797995997,8.834737851,5.4129477,95,26.43662352,1.265424828,20.04795784,505.3588592
Mai-13,436.0311922,10.87304615,16.30233897,3.973650031,8.602297142,6.078098053,94.6,23.50350908,1.249356123,21.37828637,486.2545018
Jun-13,440.6116273,9.565185081,14.37719706,3.502558082,8.257369067,5.298266604,88.4,22.46148159,1.161742646,20.18970486,474.0656332
Jul-13,444.3052037,9.518752144,14.72801886,3.536358401,8.512592427,5.300560226,97,23.94347625,1.232644776,17.99821264,483.6314647
Ago-13,423.8604077,9.163160199,15.50607785,3.562645767,8.158992434,5.504692576,107.9,26.56784179,1.172884473,15.74144194,462.2651827
Set-13,438.379466,9.704013966,17.61482729,3.842278239,8.643555388,5.663328565,94,26.59871668,1.192887356,17.10964081,475.9769794
Out-13,515.7894191,9.899975476,20.27238343,4.119776112,9.580609288,7.222374048,95,28.34075753,1.236347535,15.28946625,480.7982767
Nov-13,530.3084773,9.335812058,17.57202055,3.970354181,9.171306306,8.637959361,92.5,28.43588734,1.234239997,15.77484613,460.3066434
Dez-13,560.8980961,8.757767715,16.88846708,3.842441184,9.032881736,7.23200388,90.5,28.30904759,1.244010027,13.83356616,458.9077669
Jan-14,591.0572981,7.593760614,14.45901956,3.635208401,8.298471494,6.471247147,96.59,26.20033668,1.126975666,13.59957485,458.2256598
Fev-14,608.414104,7.973844565,14.41878269,3.757354554,8.478044976,5.903087055,98.7,26.16069926,1.172384121,15.47150532,477.7414015
Mar-14,557.7950916,8.908217612,16.14160732,4.100947449,9.033090282,6.384578658,94,24.90815669,1.101852283,18.39700382,480.7170414
Abr-14,534.88,9.026993847,16.57346611,4.344787567,9.07859232,7.318672369,92.05,23.96169274,1.079655854,17.80657527,490.7024055
Mai-14,571.65,8.777033847,16.17535877,4.164789225,9.732559356,7.703865651,90.6,23.14666918,1.0746413,17.80657527,505.7582735
Jun-14,584.67,9.327464018,17.87026357,4.245398049,9.990266561,6.943108918,94,23.83128897,1.141050345,17.15456975,508.0893244
Jul-14,579.55,9.745952481,19.93415317,4.636228709,9.922470103,6.846810597,93,26.52901696,1.200621807,17.84112874,517.3907089
Ago-14,582.36,10.96098112,25.22844763,5.371579844,10.94713271,7.222374048,92.5,23.73348614,1.241827238,20.50272043,536.3992138
Set-14,588.41,9.085435464,18.43522277,4.574602219,9.749403764,6.740882445,95,21.88338265,1.206904057,19.75838612,517.2542559
Out-14,567.87,8.849977351,20.20587856,4.88056267,9.833816764,7.222374048,93.79,21.14066564,1.204709439,21.22092187,527.056017
Nov-14,549.08,8.65058419,21.65408043,5.171718582,9.635598733,7.222374048,97.3,19.70310037,1.222232213,23.02314333,536.6050508
Dez-14,530.66,8.084274599,17.5995781,4.657752765,9.831063736,6.548285803,101.4,18.52767936,1.260182135,23.99168976,528.9902785
