Data,BRAP4,ITSA4,RENT3,VVAR3,SULA11,DASA3,VALE3,EQTL3,MYPK3,PETR4
jan/10,22.70575081,3.416419427,4.710832632,3.048638224,7.967701677,13.3858407,32.08301553,1.698891633,11.18095694,26.06049917
fev/10,23.06253876,3.516812874,4.701286872,2.52143011,7.723792442,13.70532288,33.09319431,1.75585447,10.35551717,26.39607481
mar/10,25.70627893,3.768879988,4.486507269,3.069268107,7.845747059,14.44615115,37.48812794,1.562980302,10.57019698,26.9909589
abr/10,23.43687365,3.710087935,4.66477959,2.911105673,8.048566506,13.98313348,35.07862801,1.599344928,12.22714677,25.20418621
mai/10,21.92124778,3.454757677,4.576355487,3.00279404,7.910736931,13.89052995,33.03072317,1.568588294,12.02907461,22.91138615
jun/10,19.42696526,3.322598304,5.01961505,2.934027765,7.48533701,15.73334026,28.83582133,1.665984299,13.02705357,20.79053486
jul/10,21.87385049,4.05785115,5.840573468,3.518541108,7.861390541,15.65925743,32.0728322,1.706993144,14.84779381,21.55682785
ago/10,21.68426132,3.837624857,5.883801396,3.438313787,8.754730375,17.03905007,30.96960604,1.642369983,14.93159357,20.31721279
set/10,23.99487933,4.035659544,6.832414275,3.48415797,9.699118199,18.89112073,34.55013644,1.509802003,16.15049916,21.27616029
out/10,25.81375043,4.213703347,6.772771073,3.415391695,10.2555413,19.44674193,35.77847134,1.733694592,18.85494596,20.15349005
nov/10,25.41552959,4.048153846,6.775177031,4.355197463,10.36274208,20.37277726,35.75177098,1.780829874,19.17490868,19.27301171
dez/10,25.96699863,4.127578462,6.472026354,4.472100132,10.61798203,20.95995856,36.93326155,1.679194423,18.35976556,21.5565017
jan/11,27.40561351,3.711251015,6.049508587,5.04286022,9.397935055,18.8639627,38.30586687,1.705708019,15.31250157,21.39852075
fev/11,25.88307943,3.821423861,5.675187696,6.280653183,9.724642195,18.72422965,37.78241599,1.738113525,15.66293692,22.57547888
mar/11,25.65529874,4.087457114,6.327230538,6.188964816,10.41379007,19.56262799,35.80269793,1.872154483,17.08862916,22.64311682
abr/11,24.97356637,3.879890933,6.534763033,5.959743897,10.87225128,19.60920567,35.17324007,1.973789935,17.56944391,20.43165605
mai/11,24.85084614,3.777555088,6.393325613,6.074354356,10.7843931,20.86680319,34.12734724,1.990805366,18.28672493,19.38800702
jun/11,24.29860512,3.839681715,6.782273179,5.501302058,10.56870524,19.56262799,33.61119234,2.024836227,16.78910521,19.09022526
jul/11,24.49495748,3.336904376,6.124657747,5.501302058,9.759875757,17.93240899,34.07980666,1.956774505,15.92206222,18.91316584
