Data,EZTC3,LREN3,SAPR4,RADL3,ALPA4,FLRY3,LAME4,GRND3,HGTX3,ITUB3
Jan-10,3.74,4.71,0.39,8.10,2.64,6.91,6.28,1.68,6.72,7.67
Fev-10,3.81,5.11,0.46,8.34,2.82,7.09,6.17,1.77,7.09,7.72
Mar-10,3.74,5.34,0.46,8.60,2.77,6.74,6.32,1.74,7.64,8.07
Abr-10,3.88,5.74,0.45,9.03,2.70,6.29,6.16,1.55,8.57,7.94
Mai-10,3.78,5.81,0.40,8.91,2.87,6.31,5.91,1.45,9.08,7.36
Jun-10,3.92,6.54,0.39,10.44,3.42,7.09,6.23,1.52,10.36,6.91
Jul-10,4.47,7.87,0.45,11.07,3.51,7.23,7.15,1.58,13.11,8.12
Ago-10,5.07,7.57,0.48,11.19,3.77,7.70,7.05,1.49,14.99,7.92
Set-10,5.40,7.74,0.45,13.10,4.22,7.49,7.38,1.69,16.19,8.34
Out-10,5.72,8.97,0.48,13.05,4.66,7.85,8.73,1.75,18.63,8.59
Nov-10,6.16,8.01,0.49,12.73,4.40,8.13,7.76,1.88,20.15,8.39
Dez-10,6.65,7.61,0.48,12.32,4.81,9.58,7.31,1.86,18.14,8.39
Jan-11,6.38,6.53,0.52,10.95,4.77,8.98,6.39,1.83,17.20,7.91
Fev-11,6.43,6.88,0.69,11.59,4.75,7.92,6.40,1.88,16.68,8.24
Mar-11,6.63,7.15,0.69,11.68,5.06,8.71,6.53,1.92,20.15,8.87
Abr-11,7.80,8.05,0.66,10.36,5.19,8.43,6.72,1.91,22.99,8.71
Mai-11,8.22,8.30,0.67,10.27,5.59,9.34,7.65,1.82,24.34,8.38
Jun-11,8.24,8.27,0.70,9.81,5.49,8.17,7.41,1.86,24.30,8.52
Jul-11,7.28,7.75,0.81,11.51,4.88,7.65,6.92,1.80,22.50,7.66
Ago-11,7.79,8.32,0.81,11.51,4.91,8.32,7.64,1.55,23.82,7.14
Set-11,6.02,7.06,0.77,10.36,4.77,8.12,7.00,1.62,21.41,7.14
Out-11,7.43,7.26,0.77,9.95,5.21,7.83,7.46,1.64,26.14,7.87
Nov-11,7.53,7.55,0.82,11.60,5.04,7.45,7.46,1.72,26.10,7.71
Dez-11,7.67,6.77,0.80,11.99,5.70,7.77,7.06,1.65,22.18,7.66
Jan-12,8.61,8.25,0.96,13.40,6.45,8.29,8.35,1.82,28.70,8.65
Fev-12,9.71,9.14,1.23,15.45,7.19,8.89,9.04,1.95,31.57,8.99
Mar-12,10.92,8.79,1.29,16.43,7.28,8.74,8.53,2.12,32.22,8.71
Abr-12,10.48,8.80,1.31,19.01,7.86,8.91,8.89,2.18,32.32,7.77
Mai-12,9.95,8.35,1.29,17.26,6.50,8.76,7.71,2.32,29.02,7.46
Jun-12,10.26,8.11,1.40,18.79,6.83,9.25,8.40,2.37,26.47,7.32
Jul-12,10.84,8.82,1.40,21.72,6.21,7.77,9.23,2.61,28.11,8.20
Ago-12,12.19,9.64,1.60,19.92,6.71,8.05,9.27,2.89,30.81,8.24
Set-12,12.53,9.80,1.54,21.66,7.29,8.85,10.08,3.14,31.84,7.94
Out-12,13.29,10.85,1.60,20.78,7.87,8.72,10.80,3.51,32.85,7.76
Nov-12,12.85,11.28,1.60,19.53,7.22,8.39,11.95,3.53,33.68,8.49
