Data,Petrobras,Vale ,Embraer,Itau Unibanco,JBS,RaiaDrogasil,Engie Brasil,Natura,Amazon (NASDAQ),Lojas Renner
Jan-10,26.06049917,32.08301553,8.739377454,10.15036937,8.356173662,8.097845118,8.7867139,12.21194361,125.41,4.711013403
Fev-10,26.39607481,33.09319431,8.581911193,10.3642487,8.123560691,8.33778127,8.995197473,11.98166536,118.4,5.109053446
Mar-10,26.9909589,37.48812794,9.20302811,11.07777076,7.112588931,8.602605636,8.682472114,13.310599,135.77,5.342116366
Abr-10,25.20418621,35.07862801,8.989018218,10.71180767,7.309415291,9.032804557,9.62064819,13.60557072,137.1,5.740263205
Mai-10,22.91138615,33.03072317,8.592443885,9.862548458,6.505722375,8.912166098,9.017303195,13.97428538,125.46,5.805660298
Jun-10,20.79053486,28.83582133,8.217864092,9.240452747,6.855685372,10.4353534,9.25758986,14.74858615,109.26,6.539709301
Jul-10,21.55682785,32.0728322,10.17492009,11.26045076,7.717132748,11.07054882,9.982818702,17.11876366,117.89,7.869005314
Ago-10,20.31721279,30.96960604,9.563893555,10.82994259,6.685190578,11.18851369,10.14883494,15.84515761,124.83,7.567377905
Set-10,21.27616029,34.55013644,10.48435359,11.59246129,6.559562836,13.10084713,11.06192427,17.04384566,157.06,7.739545762
Out-10,20.15349005,35.77847134,10.75067925,11.89102634,5.868610253,13.04929287,11.51464313,18.2425337,165.23,8.968744184
Nov-10,19.27301171,35.75177098,10.99924987,11.24958503,5.877583663,12.7308695,12.19559691,17.26110786,175.4,8.011811211
Dez-10,21.5565017,36.93326155,10.65079784,11.40784414,6.433935093,12.31773126,12.36222803,17.86419779,180,7.606798419
Jan-11,21.39852075,38.30586687,12.20328701,10.26224434,5.653248408,10.94909445,11.61914329,15.99499362,169.64,6.52781992
Fev-11,22.57547888,37.78241599,12.64556591,10.67241106,5.599407947,11.58779163,11.70921416,15.81144451,173.29,6.878487932
Mar-11,22.64311682,35.80269793,12.2402058,11.34004555,5.258418361,11.68343228,12.42978119,17.64776624,180.13,7.153587101
Abr-11,20.43165605,35.17324007,11.20658842,10.81865074,4.818721262,10.36143818,12.41176701,16.99556618,195.81,8.045687994
Mai-11,19.38800702,34.12734724,11.34259071,10.45460641,5.078950157,10.26974404,12.15390824,16.228272,196.69,8.295166692
Jun-11,19.09022526,33.61119234,10.87737724,10.63610594,4.827694673,9.807410179,12.49467202,14.96223659,204.49,8.26844274
Jul-11,18.91316584,34.07980666,10.24667217,9.177209798,4.16366232,11.51104481,11.87221018,13.8293751,222.52,7.745932745
Ago-11,16.88592056,31.09003592,9.232059674,8.508754139,3.831646144,11.51104481,11.96630731,14.95534124,215.23,8.317080638
Set-11,15.50582129,29.59799179,10.82535759,8.57130549,3.257347893,10.35994033,12.34468857,12.55432633,216.23,7.060064046
Out-11,17.30806858,31.0557918,10.91748829,9.66109335,4.630279649,9.945542717,13.00685578,13.10357811,213.51,7.256602847
Nov-11,18.06522793,29.59216949,10.4199825,9.419551252,5.339179052,11.60313317,13.53301263,14.24131393,192.29,7.55489578
Dez-11,17.60642849,28.0290777,10.83457066,10.12499293,5.455833385,11.98820229,14.36743652,14.22562102,173.1,6.76934905
Jan-12,20.31681868,31.7591831,11.11096277,10.46529376,5.7340091,13.40238498,14.54966702,14.68071535,194.44,8.250187853
Fev-12,20.10182589,30.9421124,11.79272997,10.96965964,6.550589426,15.45433634,14.56884918,16.33786101,179.69,9.14232681
Mar-12,19.405127,30.48028982,13.4879349,10.53574268,6.730057629,16.42648537,15.69100544,16.01909317,202.51,8.789586434
Abr-12,17.69315434,31.02889067,15.14628755,9.052621518,6.730057629,19.00845123,16.13980905,17.65328277,231.9,8.798169993
Mai-12,16.06256743,27.37971832,13.22075586,8.845816591,4.890508544,17.25937758,16.43460009,17.47170615,212.91,8.35014828
Jun-12,15.32367253,29.22979771,12.39433705,8.545267248,5.410966334,18.79268979,18.25247812,18.96466949,228.35,8.114232454
Jul-12,16.37323914,27.05923212,12.19023868,9.813079666,4.809747852,21.71599709,17.95768709,21.69235387,233.3,8.822697825
Ago-12,17.42280576,24.60459922,12.98807774,9.668009671,5.177657669,19.92489135,17.08145564,20.86723748,248.27,9.636281026
Set-12,18.78304408,26.57850283,12.69188235,9.333893509,6.030131636,21.65606157,16.19095321,22.65058685,254.32,9.799661955
Out-12,17.46478842,28.15430655,13.24208151,9.066774725,5.895530483,20.78200842,17.70885508,22.19962494,232.8931,10.85323386
Nov-12,15.66793038,28.26707413,12.22561188,9.816612419,4.854614903,19.52671932,17.85294421,23.18764149,252.05,11.27899237
Dez-12,16.39003221,31.78542272,13.52587546,10.29652536,5.384046103,21.45149594,17.0845248,24.04036946,250.87,11.53359937
Jan-13,15.18093147,30.26681927,15.39796895,10.59732273,6.846711961,20.68902404,18.1295752,22.01514052,265.5,11.52781449
