Data,ABEV3,MGLU3,FLRY3,CIEL3,WEGE3,TOTS3,COGN3,BRKM3,IGTA3,MXRF11
2010 - 01,4.326946964,1.845678136,6.416720857,4.863672067,4.249287357,6.489328467,1.949164795,8.159250097,13.83884817,3.533867205
2010 - 02,4.284525915,1.845678136,6.803142168,4.595862276,4.200604851,6.054896435,1.949164795,8.303083031,12.07754022,3.533867205
2010 - 03,4.267557496,1.845678136,6.817322767,4.494279251,4.126823799,6.027201393,1.949164795,8.106947211,11.99366841,3.533867205
2010 - 04,3.950958115,1.845678136,6.491168999,5.409549133,4.467650014,5.895471221,1.949164795,7.708137711,12.65625569,3.533867205
2010 - 05,4.175886069,1.845678136,6.441536904,5.425506505,4.23251054,6.336254116,1.949164795,7.054351646,12.18723651,3.533867205
2010 - 06,4.244193287,1.845678136,6.207557028,5.029763678,3.950343171,7.05252632,1.949164795,5.949453195,12.45796999,3.533867205
2010 - 07,4.394240525,1.845678136,7.069028392,4.790403097,4.081913641,7.245368837,1.949164795,6.975897318,13.13480367,3.533867205
2010 - 08,4.691762761,1.845678136,7.143476534,5.026572203,4.344198339,7.135173113,1.949164795,7.387782539,14.91149209,3.533867205
2010 - 09,4.801511598,1.845678136,7.722665109,4.866998482,4.083071663,7.352809668,1.949164795,8.976482678,14.28965114,3.533867205
2010 - 10,5.235464251,1.845678136,7.544312566,4.904221526,4.548817588,7.382562513,1.949164795,9.283762129,16.15940419,3.533867205
2010 - 11,5.750866621,1.845678136,8.1007725,4.90753743,5.384752129,8.8156579,1.949164795,10.10099471,16.83623788,3.533867205
2010 - 12,5.850143566,1.845678136,8.06153494,4.973855503,5.456199526,9.09114721,1.949164795,10.32981983,18.43323705,3.533867205
2011 - 01,6.426294069,1.845678136,9.690516323,4.50962899,5.248252981,9.635439365,1.949164795,11.87929281,17.94196885,3.533867205
2011 - 02,5.56945486,1.845678136,8.982681056,4.061981994,4.727725615,9.247806747,1.949164795,10.66325073,15.80174828,3.533867205
2011 - 03,5.634456455,1.845678136,7.83289788,4.187986334,4.887748227,8.721733908,1.949164795,10.73516719,15.80602018,3.533867205
2011 - 04,5.995166128,1.845678136,8.731165986,4.952966887,5.227629338,8.850987701,1.949164795,11.36933968,16.76719708,3.533867205
2011 - 05,6.416055419,1.897587833,8.803027434,5.153856453,4.628806208,8.542883698,1.949164795,11.6550908,17.38901847,3.533867205
2011 - 06,6.050194816,1.868749112,9.270126849,5.472508869,4.339053081,8.794968791,1.949164795,12.66232087,17.75487653,3.533867205
2011 - 07,6.506556375,1.868749112,8.264066571,5.440643627,4.406712158,8.332812788,1.949164795,12.53213467,16.35600747,3.533867205
2011 - 08,5.719717,1.61381482,7.74307107,6.005905303,4.134151679,7.4589178,1.949164795,11.24397649,14.76344885,3.533867205
2011 - 09,6.904515521,1.611507722,8.375372549,5.818870189,4.363285086,7.758618966,1.949164795,11.36045888,15.06474373,3.533867205
2011 - 10,6.910103302,1.294281793,7.959317325,5.914454526,4.590686308,8.794968791,1.949164795,8.880069182,13.33875452,3.533867205
2011 - 11,7.226784343,1.476542509,7.800130979,6.520228592,4.615169968,8.094732422,1.949164795,9.11303396,13.77347998,3.533867205
