Data,AMZN,AAPL,BBDC4,BBAS3,ITSA4,PETR4,CDI 252,OZ1D,S&P 500,LFT 252 ,EURO11
jan/10,125,41,5,927,8,073,14,426,3,416,26,06,8,63,66,1073,87,8,65,79,745
fev/10,118,4,6,315,8,036,15,524,3,517,26,396,8,62,65,21,1104,49,8,65,80,736
mar/10,135,77,7,253,8,466,15,673,3,769,26,991,8,61,68,1169,43,8,65,81,771
abr/10,137,1,8,058,8,214,15,747,3,71,25,204,9,38,69,1186,68,9,4,83,091
mai/10,125,46,7,928,7,853,13,842,3,455,22,911,9,37,72,1089,41,9,39,83,719
jun/10,109,26,7,763,7,307,13,133,3,323,20,791,10,12,74,1,1030,71,10,16,85,767
jul/10,117,89,7,939,9,226,16,271,4,058,21,557,10,63,71,2,1101,6,10,66,89,715
ago/10,124,83,7,503,8,718,15,276,3,838,20,317,10,63,73,75,1049,33,10,66,89,653
set/10,157,06,8,757,9,712,17,368,4,036,21,276,10,61,74,3,1141,2,10,66,91,497
out/10,165,23,9,289,10,04,17,893,4,214,20,153,10,64,80,1183,26,10,66,92,636
nov/10,175,4,9,603,9,62,17,854,4,048,19,273,10,64,85,1180,55,10,66,98,637
dez/10,180,9,955,9,551,17,184,4,128,21,557,10,64,82,1257,64,10,67,98,133
jan/11,169,64,10,472,9,014,16,276,3,711,21,399,11,14,74,3,1286,12,11,17,99,443
fev/11,173,29,10,901,9,396,16,445,3,821,22,575,11,15,78,4,1324,32,11,17,96,994
mar/11,180,13,10,756,9,797,16,479,4,087,22,643,11,66,78,4,1325,83,11,67,101,568
abr/11,195,81,10,806,9,231,16,166,3,88,20,432,11,91,79,5,1363,61,11,92,98,531
mai/11,196,69,10,735,9,121,15,733,3,778,19,388,11,85,78,8,1345,2,11,92,95,165
jun/11,204,49,10,359,9,378,15,856,3,84,19,09,12,15,80,5,1320,64,12,17,93,314
jul/11,222,52,12,051,8,731,14,887,3,337,18,913,12,4,88,1292,28,12,42,96,571
ago/11,215,23,11,877,8,336,15,259,3,095,16,886,12,39,94,98,1218,89,12,41,98,32
set/11,216,23,11,768,8,21,14,344,3,084,15,506,11,88,97,9,1131,42,11,9,97,992
out/11,213,51,12,492,9,205,14,956,3,478,17,308,11,39,93,5,1253,3,11,4,100,8
nov/11,192,29,11,795,8,788,14,046,3,414,18,065,11,36,101,7,1246,96,11,4,98,886
dez/11,173,1,12,499,9,315,13,921,3,7,17,606,10,87,95,1257,6,10,91,101,933
jan/12,194,44,14,088,9,517,15,971,3,753,20,317,10,31,95,6,1312,41,10,4,104,573
fev/12,179,69,16,741,9,474,16,332,3,936,20,102,10,27,96,1365,68,10,4,104,843
mar/12,202,51,18,503,9,688,15,495,3,741,19,405,9,52,95,7,1408,47,9,65,116,795
abr/12,231,9,18,023,9,31,14,08,3,315,17,693,8,7,100,8,1397,91,8,9,120,056
mai/12,212,91,17,83,9,002,11,976,3,224,16,063,8,33,101,1310,33,8,39,127,473
jun/12,228,35,18,023,9,175,11,866,3,116,15,324,8,38,103,35,1362,16,8,4,133,282
jul/12,233,3,18,849,9,69,13,246,3,522,16,373,7,83,106,1379,32,7,89,136,886
ago/12,248,27,20,619,10,126,14,159,3,427,17,423,7,38,110,95,1406,58,7,39,139,943
set/12,254,32,20,677,10,001,15,322,3,315,18,783,7,36,115,9,1440,67,7,39,137,66
out/12,232,893,18,452,9,832,13,389,3,267,17,465,7,09,112,7,1412,16,7,14,134,219
nov/12,252,05,18,223,10,911,13,606,3,535,15,668,7,06,117,1416,18,7,14,137,337
dez/12,250,87,16,57,10,986,16,104,3,638,16,39,6,9,109,5,1426,19,7,29,141,627
jan/13,265,5,14,182,11,44,15,349,3,784,15,181,6,95,107,1498,11,7,11,137,254
fev/13,264,27,13,824,11,068,16,569,3,885,13,947,6,98,100,1514,68,7,2,136,096
mar/13,266,49,13,863,11,775,17,609,4,015,15,408,7,01,103,5,1569,19,7,16,134,832
abr/13,253,81,13,867,11,355,16,121,3,798,17,538,7,23,95,1597,57,7,4,128,751
mai/13,269,2,14,178,11,856,16,355,3,974,17,503,7,72,94,6,1630,74,7,9,128,84
jun/13,277,69,12,501,10,025,14,424,3,503,14,125,7,72,88,4,1606,28,7,9,112,524
jul/13,301,22,14,266,9,649,14,776,3,536,14,221,8,22,97,1685,73,8,4,120,962
ago/13,280,98,15,461,9,659,15,556,3,563,14,666,8,72,107,9,1632,97,8,9,105,628
set/13,312,64,15,129,10,598,17,672,3,842,16,028,8,71,94,1681,55,8,9,110,041
out/13,364,03,16,587,11,268,20,338,4,12,17,835,9,32,95,1756,54,9,4,105,657
nov/13,393,62,17,749,10,828,17,629,3,97,16,692,9,77,92,5,1805,81,9,9,102,466
dez/13,398,79,17,907,10,294,16,943,3,842,14,911,9,77,90,5,1848,36,9,9,107,599
jan/14,358,69,15,978,9,264,14,506,3,635,12,833,10,27,96,59,1782,59,10,4,75,976
fev/14,362,1,16,897,9,758,14,465,3,757,11,864,10,59,98,7,1859,45,10,65,80,952
mar/14,336,365,17,234,11,153,16,194,4,101,13,776,10,55,94,1872,34,10,65,83,765
abr/14,304,13,18,947,11,876,16,627,4,345,15,387,10,8,92,05,1883,95,10,9,94,507
mai/14,312,55,20,439,11,174,16,228,4,165,15,498,10,8,90,6,1923,57,10,9,96,442
jun/14,324,78,21,004,11,552,17,928,4,245,16,055,10,8,94,1960,23,10,9,110,399
jul/14,312,99,21,608,12,482,19,998,4,636,17,736,10,8,93,1930,67,10,9,121,881
ago/14,339,04,23,282,14,738,25,31,5,372,21,682,10,81,92,5,2003,37,10,9,123,171
set/14,322,44,22,885,12,579,18,495,4,575,16,798,10,81,95,1972,29,10,9,122,458
out/14,305,46,24,532,13,483,20,271,4,881,14,189,11,06,93,79,2018,05,11,15,122,627
nov/14,338,64,27,132,14,3,21,724,5,172,11,886,11,06,97,3,2067,56,11,15,122,161
dez/14,310,35,25,181,12,914,17,656,4,658,9,304,11,57,101,4,2058,9,11,65,122,359
jan/15,354,53,26,728,12,432,15,346,4,534,7,596,12,08,109,1994,99,12,15,122,592
fev/15,380,16,29,421,13,927,17,685,5,156,8,887,12,09,111,2,2104,5,12,15,122,861
mar/15,372,1,28,498,13,195,17,355,5,107,9,035,12,6,122,8,2067,89,12,65,121,879
abr/15,421,78,28,663,14,311,20,165,5,429,12,118,13,11,115,5,2085,51,13,15,126,317
mai/15,429,23,29,963,12,561,17,547,4,965,11,449,13,13,121,9,2107,39,13,15,126,441
jun/15,434,09,28,846,12,784,18,974,5,024,11,802,13,64,118,89,2063,12,13,65,122,018
jul/15,536,15,27,897,12,245,17,231,4,736,9,75,14,13,119,5,2103,92,14,15,122,445
ago/15,512,89,26,051,10,354,14,04,4,151,8,534,14,13,131,5,1972,18,14,15,123,496
set/15,511,89,25,482,9,63,12,167,4,08,6,723,14,13,141,1920,03,14,15,121,04
out/15,625,9,27,608,9,449,12,783,4,114,7,159,14,14,140,25,2079,36,14,15,116,24
nov/15,664,8,27,448,9,511,13,16,4,143,7,122,14,14,132,002,2080,41,14,15,117,637
dez/15,675,89,24,422,9,102,12,096,4,002,6,221,14,14,135,5,2043,94,14,15,116,798
jan/16,587,22,585,8,577,11,366,4,002,4,494,14,13,142,1940,24,14,15,115,656
fev/16,552,52,22,555,10,095,11,111,4,078,4,773,14,13,158,3,1932,23,14,15,118,66
mar/16,593,64,25,425,12,817,16,394,4,896,7,754,14,13,143,5,2059,74,14,15,123,145
abr/16,659,59,21,867,13,498,18,334,5,19,9,499,14,13,143,2065,3,14,15,126,447
